id,target
0,1
2,0
3,0
9,1
11,1
12,0
21,1
22,0
27,0
29,1
30,0
35,0
42,0
43,0
45,0
46,1
47,0
51,0
58,1
60,0
69,0
70,1
72,0
75,1
84,0
87,1
88,0
90,1
94,0
99,0
101,0
103,1
106,1
108,0
111,0
115,0
116,1
122,1
123,0
124,1
125,1
127,0
140,0
142,1
147,1
148,0
150,1
152,0
154,1
155,0
166,0
167,1
169,0
177,0
179,0
181,0
186,0
188,0
189,0
192,0
200,0
202,0
206,0
207,0
214,1
217,0
223,0
224,0
227,0
228,0
230,0
233,0
234,0
236,0
239,0
250,0
255,1
257,1
259,1
275,1
278,0
282,0
284,0
286,1
288,0
292,0
295,0
300,0
304,1
305,1
306,0
308,0
311,1
317,1
319,1
323,0
324,0
325,1
326,0
333,0
339,0
342,1
343,0
350,1
351,1
357,1
359,1
362,0
366,0
367,1
369,1
373,1
374,1
376,0
377,1
378,1
379,1
382,1
385,1
387,1
388,1
391,1
392,1
395,1
399,1
400,1
403,0
405,0
408,0
411,0
414,0
416,0
417,1
422,0
425,1
428,1
430,0
431,0
433,0
434,0
439,0
441,0
449,1
458,0
460,0
464,1
473,1
488,0
491,1
494,1
497,0
500,1
505,1
507,0
508,1
510,1
511,1
515,0
525,1
529,1
532,1
534,1
537,0
539,1
541,1
545,1
547,1
548,0
549,1
553,0
554,1
555,1
557,0
562,0
566,0
572,0
573,0
582,1
586,1
587,0
590,0
591,0
593,1
595,0
596,0
597,0
601,0
602,0
605,0
610,0
616,0
618,0
620,1
626,1
627,0
629,1
632,1
634,0
639,0
645,0
647,1
648,0
650,0
663,0
666,1
668,0
670,0
673,0
676,0
678,1
692,1
693,0
694,1
695,1
696,1
698,0
701,1
703,0
707,0
708,1
711,0
715,1
718,0
722,1
723,1
733,0
741,0
742,0
743,1
747,0
749,0
750,0
756,0
757,0
760,0
764,1
765,0
766,0
768,0
769,1
771,0
772,1
776,1
778,0
780,1
785,0
789,1
792,1
793,0
811,1
813,0
816,1
821,1
824,1
825,1
827,0
830,0
831,0
839,0
844,0
847,0
850,1
854,1
855,0
858,1
861,0
862,0
865,0
869,0
879,0
880,0
887,1
889,1
897,0
900,0
901,1
904,0
908,1
909,1
910,1
913,1
914,1
917,1
918,1
920,0
922,0
924,0
925,0
927,1
933,0
937,1
943,1
949,0
950,1
954,1
966,0
967,1
969,1
970,1
973,0
975,0
980,0
988,1
989,0
995,0
1000,0
1003,0
1007,1
1011,1
1012,1
1013,0
1014,0
1016,1
1019,1
1025,0
1027,1
1028,0
1030,0
1033,0
1034,0
1039,1
1046,0
1047,1
1053,0
1055,0
1056,1
1059,1
1060,1
1063,0
1064,0
1068,0
1076,1
1086,0
1087,0
1089,0
1092,0
1095,0
1096,0
1097,0
1100,1
1101,1
1107,1
1108,0
1111,0
1115,0
1116,0
1121,0
1125,1
1127,1
1131,0
1133,0
1135,1
1137,1
1140,0
1144,0
1147,1
1148,0
1150,0
1158,0
1159,1
1161,0
1163,1
1165,0
1169,1
1171,1
1172,0
1176,1
1180,0
1184,0
1186,0
1187,0
1192,0
1193,0
1194,0
1197,1
1200,1
1205,0
1210,1
1216,0
1220,0
1231,0
1233,0
1246,1
1247,0
1248,0
1255,0
1256,0
1257,0
1258,0
1260,0
1261,0
1265,1
1266,0
1268,1
1274,0
1281,0
1285,0
1286,1
1291,1
1292,1
1295,1
1299,0
1306,0
1310,0
1311,0
1313,1
1314,0
1322,0
1323,0
1325,0
1329,1
1330,0
1333,0
1336,0
1339,0
1342,0
1344,0
1355,0
1357,0
1358,1
1359,0
1364,0
1366,0
1367,0
1370,0
1373,1
1377,0
1386,1
1387,0
1392,1
1397,1
1398,1
1400,1
1403,0
1404,0
1410,1
1413,1
1416,1
1417,1
1423,1
1424,0
1426,1
1427,1
1428,1
1430,0
1434,1
1435,0
1437,0
1438,1
1442,0
1446,0
1451,1
1457,0
1461,1
1462,0
1465,0
1468,1
1469,0
1471,0
1476,1
1478,0
1481,0
1489,1
1490,0
1492,1
1496,1
1512,0
1516,1
1517,1
1528,1
1529,1
1536,1
1539,0
1541,1
1542,1
1548,1
1550,1
1551,0
1552,1
1557,1
1563,0
1564,1
1565,1
1566,1
1571,1
1578,0
1581,1
1583,1
1584,0
1586,1
1589,1
1592,1
1598,1
1606,0
1612,0
1616,1
1620,0
1624,1
1629,1
1630,0
1635,1
1640,1
1641,1
1642,1
1651,1
1655,1
1656,1
1659,0
1664,1
1667,1
1668,1
1674,1
1678,0
1680,1
1681,0
1682,1
1685,0
1695,1
1696,0
1697,1
1704,0
1708,1
1711,0
1713,0
1714,1
1717,0
1729,1
1730,0
1732,0
1734,0
1736,1
1738,1
1742,0
1743,1
1746,0
1748,0
1749,1
1751,1
1758,1
1764,0
1765,0
1777,1
1778,1
1781,1
1782,1
1783,1
1785,1
1788,1
1793,1
1794,1
1795,0
1797,0
1800,0
1801,1
1805,0
1806,0
1819,0
1820,0
1825,1
1828,0
1829,0
1830,0
1839,1
1843,0
1844,1
1846,1
1849,0
1850,0
1854,1
1855,0
1858,1
1859,0
1862,0
1867,0
1868,0
1871,0
1872,1
1874,0
1876,1
1879,1
1884,0
1891,0
1894,1
1896,0
1902,0
1903,0
1904,1
1906,0
1907,0
1912,1
1913,1
1923,0
1926,1
1928,0
1930,0
1931,0
1934,1
1936,1
1944,1
1946,0
1947,0
1958,1
1964,0
1970,1
1974,0
1977,1
1978,0
1982,0
1984,0
1988,1
1993,1
1997,1
1998,0
2002,1
2004,1
2005,1
2008,1
2011,0
2013,1
2018,0
2021,0
2025,1
2029,1
2030,0
2032,0
2037,0
2041,0
2044,0
2048,0
2052,0
2053,0
2054,0
2062,1
2065,0
2066,0
2072,1
2079,0
2080,0
2085,0
2088,0
2090,1
2092,0
2093,0
2101,1
2104,0
2105,1
2106,0
2107,0
2120,0
2124,1
2127,1
2130,1
2132,1
2135,1
2137,1
2140,1
2143,1
2147,0
2151,1
2152,0
2155,1
2156,1
2162,1
2165,1
2166,1
2167,0
2168,0
2170,0
2178,1
2180,1
2182,0
2184,0
2185,0
2187,1
2196,0
2197,0
2199,1
2200,0
2201,0
2202,1
2206,0
2208,1
2218,0
2223,1
2224,0
2226,0
2228,0
2232,0
2234,0
2243,0
2247,0
2249,1
2252,1
2253,0
2259,0
2261,0
2264,0
2268,0
2269,0
2270,0
2276,1
2283,0
2287,0
2290,0
2291,0
